,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Daily,Release,Date,Owner,Price
0,0,0,0,0,0,10423126.0,IF,2024-05-17,Geoff,11.0
1,1,1,1,1,1,5098780.0,The Strangers: Chapter 1,2024-05-17,Eric,4.0
2,2,2,2,2,2,1237795.0,Back to Black,2024-05-17,Nick,3.0
3,3,3,3,3,3,14006940.0,IF,2024-05-18,Geoff,11.0
4,4,4,4,4,4,4069567.0,The Strangers: Chapter 1,2024-05-18,Eric,4.0
5,5,5,5,5,5,935420.0,Back to Black,2024-05-18,Nick,3.0
6,6,6,6,6,6,9285735.0,IF,2024-05-19,Geoff,11.0
7,7,7,7,7,7,2656711.0,The Strangers: Chapter 1,2024-05-19,Eric,4.0
8,8,8,8,8,8,662505.0,Back to Black,2024-05-19,Nick,3.0
9,9,9,9,9,9,2461117.0,IF,2024-05-20,Geoff,11.0
10,10,10,10,10,10,1026210.0,The Strangers: Chapter 1,2024-05-20,Eric,4.0
11,11,11,11,11,11,274295.0,Back to Black,2024-05-20,Nick,3.0
12,12,12,12,12,12,2862407.0,IF,2024-05-21,Geoff,11.0
13,13,13,13,13,13,1174802.0,The Strangers: Chapter 1,2024-05-21,Eric,4.0
14,14,14,14,14,14,357910.0,Back to Black,2024-05-21,Nick,3.0
15,15,15,15,15,15,1803707.0,IF,2024-05-22,Geoff,11.0
16,16,16,16,16,16,846388.0,The Strangers: Chapter 1,2024-05-22,Eric,4.0
17,17,17,17,17,17,234440.0,Back to Black,2024-05-22,Nick,3.0
18,18,18,18,18,18,1723760.0,IF,2024-05-23,Geoff,11.0
19,19,19,19,19,19,861530.0,The Strangers: Chapter 1,2024-05-23,Eric,4.0
20,20,20,20,20,20,196655.0,Back to Black,2024-05-23,Nick,3.0
21,21,21,21,21,21,10356086.0,Furiosa: A Mad Max Saga,2024-05-24,Eric,17.0
22,22,22,22,22,22,8405671.0,The Garfield Movie,2024-05-24,Andrew,12.0
23,23,23,23,23,23,4316578.0,IF,2024-05-24,Geoff,11.0
24,24,24,24,24,24,1652175.0,The Strangers: Chapter 1,2024-05-24,Eric,4.0
25,25,25,25,25,25,1100125.0,Sight,2024-05-24,Nick,2.0
26,26,26,26,26,26,305670.0,Back to Black,2024-05-24,Nick,3.0
27,27,27,27,27,27,8351559.0,Furiosa: A Mad Max Saga,2024-05-25,Eric,17.0
28,28,28,28,28,28,8226095.0,The Garfield Movie,2024-05-25,Andrew,12.0
29,29,29,29,29,29,6132295.0,IF,2024-05-25,Geoff,11.0
30,30,30,30,30,30,2078248.0,The Strangers: Chapter 1,2024-05-25,Eric,4.0
31,31,31,31,31,31,886677.0,Sight,2024-05-25,Nick,2.0
32,32,32,32,32,32,399710.0,Back to Black,2024-05-25,Nick,3.0
33,33,33,33,33,33,7618817.0,Furiosa: A Mad Max Saga,2024-05-26,Eric,17.0
34,34,34,34,34,34,7374863.0,The Garfield Movie,2024-05-26,Andrew,12.0
35,35,35,35,35,35,5696931.0,IF,2024-05-26,Geoff,11.0
36,36,36,36,36,36,1850747.0,The Strangers: Chapter 1,2024-05-26,Eric,4.0
37,37,37,37,37,37,808645.0,Sight,2024-05-26,Nick,2.0
38,38,38,38,38,38,381965.0,Back to Black,2024-05-26,Nick,3.0
39,39,39,39,39,39,7249276.0,The Garfield Movie,2024-05-27,Andrew,12.0
40,40,40,40,40,40,6163496.0,IF,2024-05-27,Geoff,11.0
41,41,41,41,41,41,6016683.0,Furiosa: A Mad Max Saga,2024-05-27,Eric,17.0
42,42,42,42,42,42,1435206.0,The Strangers: Chapter 1,2024-05-27,Eric,4.0
43,43,43,43,43,43,962821.0,Sight,2024-05-27,Nick,2.0
44,44,44,44,44,44,351730.0,Back to Black,2024-05-27,Nick,3.0
45,45,45,45,45,45,2947840.0,Furiosa: A Mad Max Saga,2024-05-28,Eric,17.0
46,46,46,46,46,46,2682060.0,The Garfield Movie,2024-05-28,Andrew,12.0
47,47,47,47,47,47,1945584.0,IF,2024-05-28,Geoff,11.0
48,48,48,48,48,48,771561.0,The Strangers: Chapter 1,2024-05-28,Eric,4.0
49,49,49,49,49,49,487976.0,Sight,2024-05-28,Nick,2.0
50,50,50,50,50,50,183220.0,Back to Black,2024-05-28,Nick,3.0
51,51,51,51,51,51,1900519.0,Furiosa: A Mad Max Saga,2024-05-29,Eric,17.0
52,52,52,52,52,52,1781979.0,The Garfield Movie,2024-05-29,Andrew,12.0
53,53,53,53,53,53,1376948.0,IF,2024-05-29,Geoff,11.0
54,54,54,54,54,54,645735.0,The Strangers: Chapter 1,2024-05-29,Eric,4.0
55,55,55,55,55,55,300023.0,Sight,2024-05-29,Nick,2.0
56,56,56,56,56,56,135010.0,Back to Black,2024-05-29,Nick,3.0
57,57,57,57,57,57,1852387.0,The Garfield Movie,2024-05-30,Andrew,12.0
58,58,58,58,58,58,1726115.0,Furiosa: A Mad Max Saga,2024-05-30,Eric,17.0
59,59,59,59,59,59,1430326.0,IF,2024-05-30,Geoff,11.0
60,60,60,60,60,60,598180.0,The Strangers: Chapter 1,2024-05-30,Eric,4.0
61,61,61,61,61,61,256843.0,Sight,2024-05-30,Nick,2.0
62,62,62,62,62,62,96685.0,Back to Black,2024-05-30,Nick,3.0
63,63,63,63,63,63,3780696.0,The Garfield Movie,2024-05-31,Andrew,12.0
64,64,64,64,64,64,3051946.0,Furiosa: A Mad Max Saga,2024-05-31,Eric,17.0
65,65,65,65,65,65,2892086.0,IF,2024-05-31,Geoff,11.0
66,66,66,66,66,66,1913472.0,Haikyuu!! The Dumpster Battle,2024-05-31,Eric,2.0
67,67,67,67,67,67,1099438.0,The Strangers: Chapter 1,2024-05-31,Eric,4.0
68,68,68,68,68,68,573662.0,Ezra,2024-05-31,Geoff,3.0
69,69,69,69,69,69,310366.0,Sight,2024-05-31,Nick,2.0
70,70,70,70,70,70,73935.0,Back to Black,2024-05-31,Nick,3.0
71,71,71,71,71,71,5809104.0,The Garfield Movie,2024-06-01,Andrew,12.0
72,72,72,72,72,72,4411590.0,IF,2024-06-01,Geoff,11.0
73,73,73,73,73,73,4355056.0,Furiosa: A Mad Max Saga,2024-06-01,Eric,17.0
74,74,74,74,74,74,1484571.0,The Strangers: Chapter 1,2024-06-01,Eric,4.0
75,75,75,75,75,75,958344.0,Haikyuu!! The Dumpster Battle,2024-06-01,Eric,2.0
76,76,76,76,76,76,423539.0,Sight,2024-06-01,Nick,2.0
77,77,77,77,77,77,373025.0,Ezra,2024-06-01,Geoff,3.0
78,78,78,78,78,78,102520.0,Back to Black,2024-06-01,Nick,3.0
79,79,79,79,79,79,4415472.0,The Garfield Movie,2024-06-02,Andrew,12.0
80,80,80,80,80,80,3375604.0,Furiosa: A Mad Max Saga,2024-06-02,Eric,17.0
81,81,81,81,81,81,3202042.0,IF,2024-06-02,Geoff,11.0
82,82,82,82,82,82,1117348.0,The Strangers: Chapter 1,2024-06-02,Eric,4.0
83,83,83,83,83,83,763845.0,Haikyuu!! The Dumpster Battle,2024-06-02,Eric,2.0
84,84,84,84,84,84,318143.0,Sight,2024-06-02,Nick,2.0
85,85,85,85,85,85,295991.0,Ezra,2024-06-02,Geoff,3.0
86,86,86,86,86,86,87605.0,Back to Black,2024-06-02,Nick,3.0
87,87,87,87,87,0,4.0,Leftover Points,2024-05-16,Geoff,0.0
88,88,88,88,88,0,9.0,Leftover Points,2024-05-16,Eric,0.0
89,89,89,89,89,0,15.0,Leftover Points,2024-05-16,Gavin,0.0
